item_category_id,item_id
0,16255
0,16256
0,16257
1,5606
1,5740
2,5643
2,5572
2,5637
2,5642
2,5621
2,5574
2,13516
2,5634
2,5573
2,13515
3,13071
3,5672
3,5663
3,5671
3,5669
3,5660
3,5655
3,5657
3,5675
3,5666
4,5682
4,13102
4,5680
4,1958
4,13101
4,1956
4,5681
4,3669
4,5683
4,1955
5,5583
5,5580
5,5591
5,5587
5,5581
5,5605
5,5592
5,5601
5,5594
5,5596
6,7894
6,7893
6,7895
6,7956
6,11305
6,7879
6,7950
6,11306
6,7880
6,7882
7,8452
7,7933
7,8455
7,7925
7,7927
7,7935
7,7928
7,7937
7,7929
7,7984
8,9242
8,9241
8,9249
8,9251
8,9243
8,9247
8,9255
8,9245
8,9253
9,11373
9,11370
9,11369
9,11365
9,13753
9,11372
9,13754
9,11371
9,11364
9,11367
10,6669
11,13439
11,13488
11,13491
11,13490
11,13485
11,6672
11,13484
11,13489
11,13481
11,13483
12,6675
12,13443
12,13442
12,6677
12,13441
12,13498
12,13444
12,6674
12,6676
12,13440
13,6668
13,6666
13,13501
13,13502
13,13500
13,6667
14,13423
14,13422
14,13429
14,13425
14,13420
14,13421
14,13466
14,13431
14,13428
14,6665
15,7940
15,7942
15,13400
15,7938
15,13399
15,4861
15,7941
15,13393
15,13451
15,13398
16,13405
16,7982
16,13404
16,7983
16,13401
16,13525
16,13406
16,12118
16,13527
16,13407
17,12119
17,12121
17,12127
17,12122
17,12120
17,12123
17,12126
18,3315
18,2419
18,3761
18,6465
18,6662
18,6723
19,3732
19,16787
19,3329
19,3341
19,4872
19,3076
19,3851
19,11811
19,1512
19,4886
20,3733
20,16790
20,3928
20,10210
20,4231
20,3342
20,7807
20,1556
20,7172
20,4894
21,1523
21,2920
21,3743
21,6911
21,2921
21,13736
21,2956
21,2946
21,20947
21,2939
22,4233
22,5275
22,7220
22,1481
22,3326
22,4481
22,4869
22,4901
22,19430
22,3332
23,3734
23,4870
23,3343
23,4244
23,3077
23,4248
23,3335
23,4249
23,3556
23,3328
24,3735
24,3553
24,3842
24,3029
24,6183
24,4247
24,3464
24,2743
24,6768
24,2431
25,2887
25,2859
25,2861
25,2875
25,2860
25,2866
25,2888
25,2862
25,6608
25,2890
26,2757
26,5230
26,5007
27,7115
27,2065
27,3638
27,3872
27,4729
27,7079
27,7921
28,7856
28,2814
28,6497
28,6498
28,6495
28,1849
28,6488
28,10209
28,6490
28,6501
29,6504
29,7097
29,7770
29,7794
29,1502
29,7798
29,2278
29,19405
29,2815
29,6739
30,2808
30,3731
30,1855
30,3331
30,2445
30,2308
30,6738
30,1830
30,6503
30,6740
31,3025
31,5917
31,19437
31,3730
31,19445
31,19446
31,10205
31,1875
31,5818
31,11272
32,1441
32,8057
32,8058
32,1439
32,1440
32,8056
33,7980
33,7979
33,13505
33,7977
33,7978
33,7965
33,7985
33,7972
33,7976
33,7968
34,7967
34,7966
34,13097
34,13099
34,13098
34,7969
34,7973
34,7971
35,5822
35,5823
35,5821
35,5820
36,13093
36,13095
36,13094
36,13091
36,13092
37,16455
37,31
37,12021
37,11498
37,10957
37,19118
37,16451
37,16665
37,10455
37,21370
38,8093
38,10498
38,9863
38,21372
38,17481
38,11497
38,10512
38,12360
38,21385
38,19117
39,16727
39,11989
39,8286
39,15774
39,10108
39,21641
39,12762
40,10298
40,21404
40,21440
40,13811
40,11496
40,21376
40,16450
40,21427
40,19811
40,21377
41,11655
41,12912
41,21762
41,13854
41,12917
41,9001
41,21835
41,21381
41,9904
41,14423
42,22102
42,8550
42,22100
42,8543
42,22101
42,8548
42,8544
42,8547
42,8546
43,8508
43,9171
43,9451
43,10888
43,19464
43,13085
43,8497
43,19474
43,13168
43,21787
44,299
44,21978
44,334
44,150
44,330
44,112
44,118
44,157
44,158
44,161
45,154
45,156
45,155
45,213
45,308
45,149
45,325
45,259
45,448
45,153
46,13189
46,17701
46,20000
46,8517
46,9215
46,10695
46,11421
46,13190
46,19363
46,19433
47,13246
47,14957
47,13247
47,13210
47,13241
47,13294
47,13308
47,14956
47,13286
47,13214
48,11517
